"Date","Origin","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Dest","Distance","TaxiIn","TaxiOut","Cancelled","Delay","Temp","Humidity","Pressure","Events"
2008-01-01,"JFK",2008,1,1,2,948,945,1244,1248,"B6",176,183,156,-4,3,"MCO",944,8,12,0,"in Time",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,804,805,1147,1148,"B6",343,343,301,-1,-1,"PHX",2153,7,35,0,"in Time",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,756,755,1144,1115,"B6",228,200,184,29,1,"RSW",1074,8,36,0,"Delayed",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,1850,1850,2027,2020,"MQ",97,90,39,7,0,"BOS",187,4,54,0,"Delayed",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,828,830,1155,1159,"UA",387,389,332,-4,-2,"LAX",2475,18,37,0,"in Time",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,1510,1450,1840,1750,"B6",210,180,178,50,20,"FLL",1069,12,20,0,"Delayed",4,62,1011,"Rain"
2008-01-01,"JFK",2008,1,1,2,914,850,1155,1140,"DL",161,170,125,15,24,"ATL",760,5,31,0,"Delayed",4,62,1011,"Rain"
2008-01-01,"LAX",2008,1,1,2,605,610,840,905,"AS",155,175,135,-25,-5,"SEA",954,4,16,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1733,1615,2103,1927,"XE",150,132,115,96,78,"DEN",862,8,27,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,2024,2025,4,20,"AA",340,355,323,-16,-1,"HNL",2556,6,11,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,2108,2055,2216,2218,"AS",68,83,51,-2,13,"SFO",337,6,11,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,1714,1715,2011,2006,"DL",117,111,83,5,-1,"SLC",590,16,18,0,"Delayed",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,602,600,717,720,"MQ",75,80,52,-3,2,"SJC",308,12,11,0,"in Time",18,15,1021,"no specifiy Event"
2008-01-01,"LAX",2008,1,1,2,556,600,711,721,"UA",75,81,53,-10,-4,"SFO",337,6,16,0,"in Time",18,15,1021,"no specifiy Event"
